Date,Open,High,Low,Close,Adj Close,Volume
2023-02-08,3898.850098,3898.850098,3835.500000,3880.300049,3734.762451,309039
2023-02-09,3879.899902,3890.500000,3832.250000,3845.750000,3701.508301,249061
2023-02-10,3845.000000,3848.949951,3800.100098,3831.649902,3687.937256,170034
2023-02-13,3850.850098,3912.600098,3824.000000,3883.500000,3737.842529,372862
2023-02-14,3894.949951,3906.949951,3862.550049,3876.100098,3730.720215,251160
2023-02-15,3866.600098,3911.899902,3850.000000,3905.399902,3758.920898,214072
2023-02-16,3910.000000,3930.949951,3892.000000,3906.600098,3760.076172,166844
2023-02-17,3890.000000,3920.000000,3872.000000,3894.300049,3748.237549,167844
2023-02-20,3894.949951,3934.949951,3893.350098,3903.800049,3757.381104,169828
2023-02-21,3927.000000,3927.000000,3824.699951,3837.100098,3693.182861,177954
2023-02-22,3837.100098,3890.250000,3814.949951,3840.699951,3696.647705,477992
2023-02-23,3847.500000,3872.750000,3815.199951,3831.899902,3688.177734,299446
2023-02-24,3833.550049,3874.899902,3833.550049,3849.949951,3705.550781,263732
2023-02-27,3799.949951,3799.949951,3626.050049,3639.850098,3503.331055,822866
2023-02-28,3647.000000,3743.000000,3625.600098,3661.199951,3523.880127,723245
2023-03-01,3670.000000,3748.350098,3636.899902,3731.649902,3591.687744,432887
2023-03-02,3731.050049,3757.350098,3680.000000,3715.250000,3575.902832,276614
2023-03-03,3720.050049,3748.000000,3697.449951,3732.000000,3592.024902,281411
2023-03-06,3721.699951,3774.000000,3718.149902,3723.050049,3583.410645,186747
2023-03-08,3723.800049,3817.800049,3711.050049,3811.199951,3668.254150,478922
2023-03-09,3811.199951,3838.750000,3801.000000,3813.500000,3670.467773,295897
2023-03-10,3830.000000,3845.399902,3798.000000,3821.899902,3678.552734,530973
2023-03-13,3822.949951,3838.000000,3768.300049,3778.449951,3636.732422,247745
2023-03-14,3778.449951,3794.449951,3735.899902,3752.899902,3612.140625,278919
2023-03-15,3774.899902,3787.500000,3720.550049,3730.000000,3590.099854,317890
2023-03-16,3740.949951,3811.000000,3740.949951,3800.199951,3657.666748,377544
2023-03-17,3817.800049,3827.949951,3792.050049,3814.399902,3671.334229,396793
2023-03-20,3790.000000,3834.949951,3785.100098,3805.000000,3662.286865,331370
2023-03-21,3806.500000,3922.000000,3796.750000,3905.699951,3759.209717,803886
2023-03-22,3921.750000,3945.500000,3888.600098,3923.949951,3776.775391,311063
2023-03-23,3902.500000,3912.399902,3853.050049,3862.949951,3718.063232,256313
2023-03-24,3845.100098,3882.899902,3812.000000,3827.899902,3684.327637,281359
2023-03-27,3834.949951,3844.300049,3800.000000,3807.550049,3664.741211,198811
2023-03-28,3821.000000,3833.800049,3769.550049,3791.600098,3649.389404,144400
2023-03-29,3810.500000,3894.000000,3800.149902,3879.300049,3733.800049,429300
2023-03-31,3875.649902,3907.850098,3860.000000,3884.750000,3739.045654,248433
2023-04-03,3904.800049,3995.000000,3888.199951,3993.750000,3843.957275,497915
2023-04-05,3994.000000,4026.949951,3960.050049,4023.149902,3872.254639,584697
2023-04-06,4028.000000,4065.000000,4020.050049,4033.600098,3882.312744,321813
2023-04-10,4035.050049,4072.000000,4030.100098,4061.600098,3909.262695,218632
2023-04-11,4080.000000,4183.549805,4070.550049,4177.399902,4020.719238,685931
2023-04-12,4177.399902,4307.350098,4170.500000,4286.000000,4125.246094,992142
2023-04-13,4270.000000,4305.950195,4260.049805,4288.350098,4127.507813,371608
2023-04-17,4311.000000,4311.000000,4221.049805,4254.350098,4094.782959,718984
2023-04-18,4254.250000,4266.100098,4175.049805,4209.250000,4051.374512,235015
2023-04-19,4184.100098,4296.899902,4180.049805,4265.799805,4105.803223,406755
2023-04-20,4265.000000,4330.500000,4252.049805,4314.350098,4152.532715,409146
2023-04-21,4323.000000,4337.000000,4283.049805,4308.299805,4146.709473,237639
2023-04-24,4308.299805,4354.950195,4282.700195,4332.100098,4169.617188,279716
2023-04-25,4340.000000,4375.000000,4316.100098,4342.549805,4179.674805,367525
2023-04-26,4345.000000,4362.649902,4281.000000,4299.000000,4137.758301,964051
2023-04-27,4300.000000,4422.549805,4294.000000,4408.200195,4242.862793,667011
2023-04-28,4397.350098,4439.700195,4390.049805,4431.950195,4265.721680,457064
2023-05-02,4439.950195,4506.500000,4424.049805,4498.000000,4329.294434,522701
2023-05-03,4484.500000,4489.950195,4435.000000,4447.850098,4281.025879,351550
2023-05-04,4446.799805,4470.000000,4437.250000,4457.700195,4290.506348,191019
2023-05-05,4463.100098,4504.299805,4427.399902,4463.100098,4295.703613,180033
2023-05-08,4475.000000,4558.000000,4465.200195,4549.250000,4378.622070,365732
2023-05-09,4572.850098,4577.000000,4519.649902,4528.850098,4358.987793,329083
2023-05-10,4555.000000,4576.500000,4529.350098,4555.950195,4385.071289,229527
2023-05-11,4594.000000,4594.000000,4535.100098,4547.899902,4377.322754,293197
2023-05-12,4545.000000,4628.850098,4517.000000,4538.899902,4368.660645,620213
2023-05-15,4569.000000,4608.500000,4542.049805,4564.549805,4393.348145,534604
2023-05-16,4583.500000,4595.000000,4530.000000,4538.350098,4368.131348,321308
2023-05-17,4550.000000,4600.000000,4509.000000,4529.350098,4359.468750,346510
2023-05-18,4539.950195,4572.450195,4513.250000,4518.649902,4349.169922,194233
2023-05-19,4534.000000,4550.149902,4464.049805,4483.200195,4315.049805,398571
2023-05-22,4494.950195,4566.649902,4494.950195,4523.250000,4353.597656,368479
2023-05-23,4534.950195,4553.399902,4491.100098,4498.100098,4329.391113,239196
2023-05-24,4505.549805,4552.200195,4492.049805,4517.600098,4348.159180,395343
2023-05-25,4505.649902,4651.399902,4504.600098,4644.000000,4469.818359,1016606
2023-05-26,4612.350098,4664.549805,4605.299805,4615.950195,4442.820801,484972
2023-05-29,4659.950195,4663.149902,4608.100098,4618.500000,4445.274902,301343
2023-05-30,4615.100098,4635.350098,4586.700195,4591.899902,4419.672852,229574
2023-05-31,4589.799805,4628.950195,4552.649902,4567.149902,4395.850586,719613
2023-06-01,4587.000000,4669.799805,4567.250000,4643.600098,4469.433594,698733
2023-06-02,4674.200195,4707.000000,4647.250000,4669.100098,4493.977051,606833
2023-06-05,4688.000000,4716.950195,4669.000000,4710.049805,4533.391113,234925
2023-06-06,4717.500000,4744.950195,4710.049805,4726.250000,4548.983887,353149
